"gene.ids","CPR1","CPR2","CPR3","TPR1","TPR2","TPR3"
"FBgn0000008",486,260,602,408,306,314
"FBgn0000014",275,90,272,240,197,253
"FBgn0000015",146,70,140,135,113,158
"FBgn0000017",1425,540,1475,1709,1161,1255
"FBgn0000018",190,97,215,164,145,107
"FBgn0000022",0,0,0,0,0,0
"FBgn0000024",583,154,447,931,638,808
"FBgn0000028",56,12,63,67,71,71
"FBgn0000032",837,393,1006,717,547,491
"FBgn0000036",169,77,187,230,158,255
"FBgn0000037",139,51,128,213,140,226
"FBgn0000038",772,262,663,926,678,883
"FBgn0000039",71,26,79,92,54,85
"FBgn0000042",24645,10988,29406,23686,16001,15302
"FBgn0000043",3559,1752,4771,4157,3034,3125
"FBgn0000044",6035,2152,6197,7309,5312,6670
"FBgn0000045",4039,1099,2958,6366,4626,7529
"FBgn0000046",2181,799,2101,3161,2374,3293
"FBgn0000047",200,32,64,169,155,243
"FBgn0000052",2484,965,2486,14493,9676,11595
"FBgn0000053",4870,1659,4071,17698,12827,19404
"FBgn0000055",42,15,70,35,17,35
"FBgn0000056",0,0,0,0,0,0
"FBgn0000057",592,237,567,592,480,542
"FBgn0000061",8,2,6,6,6,10
"FBgn0000063",257,102,241,298,203,216
"FBgn0000064",12062,5084,14241,18787,12256,15232
"FBgn0000071",7,0,1,8,10,31
"FBgn0000075",73,7,55,26,52,28
"FBgn0000077",191,63,221,210,113,131
"FBgn0000078",2678,806,2417,3756,2950,2711
"FBgn0000079",16442,4949,13485,17364,13705,12395
"FBgn0000083",2536,1031,2583,3473,2642,2719
"FBgn0000084",815,293,841,830,624,664
"FBgn0000092",13,0,6,19,7,10
"FBgn0000094",1634,257,787,73,516,567
"FBgn0000097",993,427,1092,1183,797,876
"FBgn0000100",21416,9582,25806,18945,14497,15199
"FBgn0000108",1342,486,1260,1709,1281,1748
"FBgn0000109",317,161,363,316,194,233
"FBgn0000114",10873,4746,12716,10279,7790,7936
"FBgn0000115",448,167,519,392,237,303
"FBgn0000116",10970,4444,11973,13677,10583,13056
"FBgn0000117",4560,1846,4924,5042,3565,3667
"FBgn0000119",464,166,409,552,382,466
"FBgn0000120",2983,1198,3151,8887,6294,7969
"FBgn0000121",3213,1084,3034,11534,8141,10517
"FBgn0000137",3,1,1,0,4,2
"FBgn0000139",506,186,514,632,501,507
"FBgn0000140",1884,781,1899,2704,1663,1761
"FBgn0000146",1347,604,1574,1173,766,736
"FBgn0000147",496,183,521,561,391,433
"FBgn0000150",8609,3964,11144,6479,4744,4743
"FBgn0000152",87,33,83,130,110,93
"FBgn0000153",334,128,331,476,306,383
"FBgn0000157",63,16,50,79,46,81
"FBgn0000158",92,34,114,168,95,83
"FBgn0000163",1170,395,1009,1726,1162,1347
"FBgn0000166",788,337,871,1517,840,971
"FBgn0000173",2205,874,2494,2362,1603,1786
"FBgn0000179",57,18,61,72,55,56
"FBgn0000180",38,15,41,23,26,26
"FBgn0000181",11264,4638,12764,11410,8213,8323
"FBgn0000182",5,0,0,8,9,11
"FBgn0000183",2356,943,2461,2602,1772,1791
"FBgn0000206",93,36,79,170,117,167
"FBgn0000212",1340,615,1493,1866,1215,1165
"FBgn0000216",0,0,0,0,0,2
"FBgn0000221",164,56,138,143,95,107
"FBgn0000227",0,0,0,0,0,0
"FBgn0000228",1232,455,1193,1143,830,794
"FBgn0000229",481,190,547,617,431,508
"FBgn0000233",4,7,11,20,12,12
"FBgn0000239",2527,1114,2960,2626,1922,2029
"FBgn0000241",31,18,31,29,22,21
"FBgn0000244",1074,377,953,1455,1043,1283
"FBgn0000246",640,245,690,534,375,393
"FBgn0000247",997,376,930,1216,887,978
"FBgn0000250",2836,1100,2850,3885,2729,3114
"FBgn0000251",1951,819,2291,1715,1136,1190
"FBgn0000253",12940,5622,14643,13823,10044,12407
"FBgn0000256",1454,620,1515,1767,1605,2080
"FBgn0000257",545,236,635,563,429,442
"FBgn0000259",2600,1120,2929,2377,1735,1885
"FBgn0000261",4317,1793,4626,5989,4430,4950
"FBgn0000273",2851,1157,2957,3372,2279,2859
"FBgn0000274",186,69,202,204,187,269
"FBgn0000276",211,81,205,28,74,132
"FBgn0000277",35,12,39,7,34,32
"FBgn0000278",3,1,2,0,2,0
"FBgn0000279",5,1,4,5,2,1
"FBgn0000280",0,0,0,0,0,0
"FBgn0000281",0,0,0,0,1,0
"FBgn0000283",2303,1027,2649,2378,1630,1630
"FBgn0000286",1196,471,1251,1183,808,848
"FBgn0000287",164,55,147,196,185,230
"FBgn0000289",2818,1182,2979,2875,1994,2085
"FBgn0000299",3010,1420,3504,2201,1824,1582
"FBgn0000303",152,52,165,232,176,276
"FBgn0000307",1865,663,1781,2188,1340,1423
"FBgn0000308",6136,2736,6980,6876,4711,5321
"FBgn0000316",701,335,871,669,427,441
"FBgn0000317",890,389,959,820,657,724
"FBgn0000318",715,302,857,802,594,632
"FBgn0000319",8072,3142,8594,8434,6471,6480
"FBgn0000320",355,122,414,309,278,308
"FBgn0000326",374,160,377,283,234,209
"FBgn0000330",341,141,392,335,218,278
"FBgn0000337",0,0,0,0,2,0
"FBgn0000339",503,183,515,505,345,410
"FBgn0000346",609,228,632,751,582,832
"FBgn0000351",425,170,484,447,280,296
"FBgn0000352",732,315,777,809,511,549
"FBgn0000355",3415,3535,10135,4759,2707,3898
"FBgn0000356",97,222,723,132,449,1728
"FBgn0000357",275,775,2073,483,806,2448
"FBgn0000358",153,375,956,208,1355,3322
"FBgn0000359",1748,36,145,6231,6800,8027
"FBgn0000360",1529,22,88,9334,9884,12261
"FBgn0000370",1721,686,1815,1877,1498,1499
"FBgn0000376",1148,410,1092,1220,747,745
"FBgn0000377",554,235,557,526,368,346
"FBgn0000382",2813,1090,2817,3715,2434,2977
"FBgn0000384",740,256,772,830,555,577
"FBgn0000392",0,0,0,0,0,0
"FBgn0000394",189,74,189,196,162,172
"FBgn0000395",270,132,324,374,317,306
"FBgn0000404",10953,4641,11942,10559,7077,6863
"FBgn0000405",19081,7755,20952,18853,12113,11756
"FBgn0000406",2997,1274,3344,6084,5172,7286
"FBgn0000411",62,16,50,58,53,60
"FBgn0000412",2650,1230,3247,2588,1784,1862
"FBgn0000414",1351,476,1288,1892,1352,1625
"FBgn0000416",13640,5794,15236,18393,13945,15317
"FBgn0000422",481,139,466,330,273,335
"FBgn0000426",338,151,420,264,188,163
"FBgn0000427",9122,4364,11091,2867,3217,687
"FBgn0000439",22,12,19,27,17,25
"FBgn0000442",5,4,8,6,6,8
"FBgn0000447",983,438,1133,989,884,889
"FBgn0000448",71,17,54,77,59,87
"FBgn0000449",22,8,23,3,4,7
"FBgn0000451",75,25,62,126,181,148
"FBgn0000454",3367,2255,5975,7795,5301,5930
"FBgn0000455",719,318,843,778,564,577
"FBgn0000459",40,11,29,43,30,68
"FBgn0000463",783,282,777,756,469,425
"FBgn0000464",67,23,56,64,51,70
"FBgn0000473",1152,485,1271,1706,1423,1460
"FBgn0000477",221,99,276,277,224,268
"FBgn0000479",2771,1058,2755,3326,2295,2969
"FBgn0000482",293,120,331,297,212,207
"FBgn0000489",1666,650,1633,1889,1557,2050
"FBgn0000490",194,58,187,205,149,199
"FBgn0000492",127,54,163,117,125,114
"FBgn0000499",829,339,856,1036,731,796
"FBgn0000500",75,19,48,88,50,66
"FBgn0000504",368,133,389,265,216,204
"FBgn0000520",271,109,305,327,192,205
"FBgn0000524",1091,440,1165,1262,793,755
"FBgn0000527",28,7,34,46,34,29
"FBgn0000529",8,2,5,6,3,5
"FBgn0000533",333,148,430,345,204,256
"FBgn0000535",185,44,155,296,216,276
"FBgn0000536",1488,628,1561,1507,1064,1277
"FBgn0000541",4016,1585,4110,4944,3172,3385
"FBgn0000542",94,45,90,86,92,99
"FBgn0000543",468,214,528,551,389,374
"FBgn0000546",882,359,980,978,661,661
"FBgn0000547",1407,527,1416,1699,1170,1297
"FBgn0000551",3,1,0,4,3,4
"FBgn0000552",0,0,0,0,0,0
"FBgn0000557",1340,483,1227,2079,1508,2053
"FBgn0000559",61419,25313,67872,67488,49256,54549
"FBgn0000560",24,8,14,19,17,25
"FBgn0000562",1970,750,1971,2854,1850,2043
"FBgn0000564",0,2,2,0,0,0
"FBgn0000565",652,533,1315,868,690,488
"FBgn0000566",1565,593,1703,1501,1111,1183
"FBgn0000567",338,111,295,480,353,425
"FBgn0000568",2276,994,2533,2972,2305,2486
"FBgn0000575",1546,642,1778,1882,1359,1457
"FBgn0000576",13,1,12,17,13,20
"FBgn0000577",36,16,38,30,36,51
"FBgn0000578",1178,448,1174,1200,891,920
"FBgn0000579",10578,4699,12758,13415,9419,10264
