"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007304","BP","GO:0007304","chorion-containing eggshell formation","11/77","52/12663",9.90085575041867e-15,4.07928239250664e-12,3.57422838200582e-12,"CG4066/Cp7Fa/CG12716/CG1077/Cp36/dec/CG13998/Vm26Ac/Vm26Aa/psd/Vm26Ab",11
"GO:0030703","BP","GO:0030703","eggshell formation","11/77","54/12663",1.55401234000253e-14,4.07928239250664e-12,3.57422838200582e-12,"CG4066/Cp7Fa/CG12716/CG1077/Cp36/dec/CG13998/Vm26Ac/Vm26Aa/psd/Vm26Ab",11
"GO:0007305","BP","GO:0007305","vitelline membrane formation involved in chorion-containing eggshell formation","6/77","14/12663",1.19773051768874e-10,1.25761704357318e-08,1.10191207627364e-08,"Cp36/CG13998/Vm26Ac/Vm26Aa/psd/Vm26Ab",6
"GO:0030704","BP","GO:0030704","vitelline membrane formation","6/77","14/12663",1.19773051768874e-10,1.25761704357318e-08,1.10191207627364e-08,"Cp36/CG13998/Vm26Ac/Vm26Aa/psd/Vm26Ab",6
"GO:0035803","BP","GO:0035803","egg coat formation","6/77","14/12663",1.19773051768874e-10,1.25761704357318e-08,1.10191207627364e-08,"Cp36/CG13998/Vm26Ac/Vm26Aa/psd/Vm26Ab",6
"GO:0085029","BP","GO:0085029","extracellular matrix assembly","6/77","23/12663",3.85536664478786e-09,3.37344581418938e-07,2.95578109433736e-07,"Cp36/CG13998/Vm26Ac/Vm26Aa/psd/Vm26Ab",6
"GO:0002064","BP","GO:0002064","epithelial cell development","13/77","298/12663",2.49219073434183e-08,1.86914305075637e-06,1.63772533971035e-06,"CG4066/Cp7Fa/CG12716/CG1077/Cp36/mey/dec/CG13998/Vm26Ac/Vm26Aa/psd/phm/Vm26Ab",13
"GO:0045229","BP","GO:0045229","external encapsulating structure organization","10/77","154/12663",2.88109623663578e-08,1.89071940529223e-06,1.65663033606557e-06,"CG15571/Cp36/Muc4B/dec/CG13998/ndl/Vm26Ac/Vm26Aa/psd/Vm26Ab",10
"GO:0010927","BP","GO:0010927","cellular component assembly involved in morphogenesis","10/77","160/12663",4.14841250714025e-08,2.41990729583182e-06,2.12029972587169e-06,"CG15571/Cp36/Muc4B/dec/CG13998/ndl/Vm26Ac/Vm26Aa/psd/Vm26Ab",10
"GO:0030707","BP","GO:0030707","follicle cell of egg chamber development","12/77","265/12663",6.04011918969027e-08,3.17106257458739e-06,2.77845482725752e-06,"CG4066/Cp7Fa/CG12716/CG1077/Cp36/dec/CG13998/Vm26Ac/Vm26Aa/psd/phm/Vm26Ab",12
