"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","entrez_ids"
"FBgn0000052",6239.53127055174,2.35549138396867,0.0939575940060865,25.0697286247675,1.06402501545664e-138,1.30587790146994e-134,"Pfas","33847"
"FBgn0000053",9128.7091652404,2.01431910731708,0.123447580174827,16.3172020420684,7.44715344282347e-60,1.52331523672954e-56,"Gart","33986"
"FBgn0000071",8.40864467440938,2.51812246798755,0.99433868777468,2.53245951198286,0.0113265449654006,0.0387108566862606,"Ama","40831"
"FBgn0000359",3415.52227533865,3.50172865277686,1.2074575748575,2.9000842147105,0.00373062414159689,0.0164816235024545,"Cp36","31787"
"FBgn0000360",4919.10219896277,4.32451568941858,1.32121457173699,3.27313653809705,0.00106361084954102,0.00620128073939049,"Cp38","31788"
"FBgn0000427",5313.51914207532,-2.08099708718456,0.648181996366756,-3.21051355768771,0.00132498018056175,0.00738996163111091,"dec","31691"
"FBgn0000449",11.0679904753047,-2.1157430279822,0.71377329063705,-2.96416671194558,0.00303503813067322,0.0140449198143117,"dib","45282"
"FBgn0001253",6.53583947722946,3.22815788831397,1.26687423412027,2.54812814198216,0.0108302680999277,0.0373895584783157,"ImpE1","45879"
"FBgn0001254",14.5052564689261,6.14875768237797,2.34165055837814,2.62582205546359,0.00864399931769894,0.0313869241497394,"ImpE2","38432"
"FBgn0002926",532.322580118045,-2.34180965106218,0.558281956946621,-4.19467192504322,2.73266817466983e-05,0.000320938148399262,"ndl","38738"
"FBgn0003486",57.8991924776715,-3.13328488157923,0.40572173016927,-7.7227435668087,1.13852079349898e-14,1.30589399052458e-12,"spo","38631"
"FBgn0003719",132.936578340131,3.04528126950034,0.290081172552117,10.498031439642,8.82002518775936e-26,3.18376968027561e-23,"tld","42945"
"FBgn0003979",8659.35722412394,-2.81535381107021,1.05296802667786,-2.67373152815732,0.00750124764833785,0.0282835061100002,"Vm26Aa","33829"
"FBgn0003980",3913.93653525058,-3.10347936603494,0.883106119996262,-3.51427681879056,0.00044095303535606,0.00311920265298267,"Vm26Ab","33827"
"FBgn0004552",51.3315285052503,2.44334234326455,0.414669446974846,5.89226517914342,3.80937208040557e-09,1.35514271138602e-07,"Akh","38495"
"FBgn0004959",24.8376432034983,-2.97593980709871,0.551265746527414,-5.39837605700161,6.72467994427799e-08,1.72661081498167e-06,"phm","32857"
"FBgn0010241",244.8837387097,2.51981731719639,0.206647369258713,12.1938030289739,3.35396028802369e-34,2.28684192305082e-31,"Mdr50","36582"
"FBgn0014031",2047.47467363025,2.06640385796883,0.121401617308308,17.0212218237674,5.71652041246462e-65,1.40317710044357e-61,"Agxt","31587"
"FBgn0014464",323.357383268717,4.96956387760903,0.946982922357519,5.2477861641235,1.53937824345615e-07,3.56467720413912e-06,"Cp7Fa","3885650"
"FBgn0020385",9035.43387841668,2.50644844558115,0.102149302140197,24.5371078711935,5.93789087728692e-133,3.64378673684712e-129,"pug","41279"
"FBgn0020906",314.883109229381,-2.97057364113549,0.844107201992299,-3.51919002008775,0.000432866550653832,0.0030708503908523,"Jon25Bi","33708"
"FBgn0023495",16.3148605307242,-2.15456963909145,0.677008705304862,-3.18248439378816,0.00146017384700543,0.00797926035866638,"Lip3","41643"
"FBgn0028944",28.4295905248962,-2.18728138569738,0.590762428155524,-3.70247206229161,0.000213508878008148,0.00175394542154886,"Semp1","34914"
"FBgn0028999",6.80233958782937,3.26239687770115,1.17848998301541,2.7682856237383,0.0056352045226996,0.0228178373827424,"nerfin-1","44786"
"FBgn0029696",18.4387913581524,7.47565556580086,1.78547736056348,4.18692262972273,2.82762160431885e-05,0.000331455586913135,"CG15571","31365"
"FBgn0029697",634.768131078071,5.31841219729876,1.18434952327311,4.490576550916,7.10306404044723e-06,0.000103904535123253,"CG15570","31366"
"FBgn0030439",33.5160067817941,4.70803085706241,0.714168079571026,6.5923288813053,4.32980108407647e-11,2.46016892152178e-09,"CG12716","32248"
"FBgn0030595",43.5321440171125,-3.12910963130921,0.414886159602516,-7.54209211101926,4.6249087359267e-14,4.76987436269147e-12,"CG14406","32421"
"FBgn0030596",124.562723831532,-2.68630654517281,0.605634697395547,-4.43552286010844,9.18490837427466e-06,0.000128683082736841,"CG12398","32422"
"FBgn0030859",153.998812478178,-2.20771364347209,0.67270125305585,-3.28186343260579,0.00103123536963297,0.00604699077472788,"CG12990","32747"
"FBgn0031654",157.162958255417,-5.41053146542441,0.800980923855102,-6.75488180090938,1.42951747558525e-11,8.86084241305948e-10,"Jon25Bii","33707"
"FBgn0031756",235.110328555932,-2.27091291756801,0.522665105998921,-4.34487187207155,1.39356979259862e-05,0.000182532359280287,"CG13992","33831"
"FBgn0031805",92.6478370036272,-2.3290680851907,0.278446607729756,-8.36450515299924,6.0367749451936e-17,9.74859722399488e-15,"Nepl4","33889"
"FBgn0032127",587.695203921811,4.98995782099391,0.838058226182067,5.95418989409198,2.61363195259898e-09,9.7203348346204e-08,"CG13114","34272"
"FBgn0032788",181.298135493557,3.18140436176315,1.06989530298553,2.97356606098323,0.00294361035566274,0.0137000113367648,"CG13084","35229"
"FBgn0032913",976.739502740623,-2.63745396110046,0.177091914138765,-14.8931359962252,3.65228948211464e-50,4.98050542377699e-47,"CG9259","35372"
"FBgn0033207",43.1049895038744,2.49406253009822,0.472575714403329,5.27759352434605,1.30891405370916e-07,3.10721512208366e-06,"CG12826","35710"
"FBgn0033355",38.7669700900328,2.1391498666449,0.43361674564595,4.93327319141758,8.08629288372787e-07,1.5555340526958e-05,"CG13748","35896"
"FBgn0033826",574.397823055285,-3.00235933931865,0.489875806620706,-6.12881734256224,8.85346956251996e-10,3.72118602537012e-08,"CG4734","36477"
"FBgn0033855",7.77488766686415,2.42110065245913,0.956780862920334,2.53046517367554,0.0113911392766556,0.0388883038504573,"link","36509"
"FBgn0034143",393.896568113161,-2.03535438716115,0.186365443939649,-10.9213078569451,9.1173367991083e-28,3.60958304953085e-25,"CG8303","36858"
"FBgn0034563",20.7887421228631,-2.50820373123256,0.569034038120763,-4.40782723563587,1.0441277682726e-05,0.000142860424749271,"CG15649","37371"
"FBgn0034996",9.96381656780179,2.27476923711733,0.825595801508693,2.75530620790515,0.00586372294077659,0.0235489108809395,"CG13575","37883"
"FBgn0035056",9.00399407957653,2.70334882067821,0.920139220760163,2.93797803602467,0.00330360427352259,0.0149392539605537,"spz6","37956"
"FBgn0035208",59.7768216356361,4.92801781698562,1.44936441381622,3.40012337132661,0.000673554554085552,0.00434166756422898,"CG9184","38152"
"FBgn0035619",109.038562637268,-2.43144832962253,0.334911535975372,-7.25997186851553,3.87170836812299e-13,3.35300965979894e-11,"Alp10","38632"
"FBgn0035620",110.550497084201,-2.87474674211957,0.882497477174268,-3.25751270284016,0.00112393227829817,0.00646999101855225,"Alp9","38633"
"FBgn0035621",18.0650369967992,5.73435677483464,2.25492067829405,2.54304146040868,0.0109892188668078,0.037821279627687,"CG10591","38634"
"FBgn0035697",62.3010818620335,5.34484851363922,1.48821118554028,3.59145836664225,0.000328832712827966,0.00247138021098446,"CG10163","38728"
"FBgn0035921",14.4270307536905,2.27783972197511,0.673274246177968,3.38322716917498,0.000716393479571682,0.00455323520185565,"CG13305","38992"
"FBgn0035949",12.9164983011046,2.76129887071008,0.724136978024914,3.81322726846726,0.000137163873418715,0.00122126677909831,"CG13314","39030"
"FBgn0036023",11.379097014217,-3.59788857595133,0.8417459548737,-4.27431644324466,1.91724578199635e-05,0.000236723918334419,"CG18179","39124"
"FBgn0036352",8.26268067350645,5.32502746685847,1.48156721622772,3.59418554118438,0.000325407892787466,0.00245014175961998,"CG14110","39500"
"FBgn0036619",207.922292584216,3.45555107361667,0.239850367814924,14.4071118385071,4.66827308799189e-47,5.72937156089245e-44,"Cpr72Ec","39816"
"FBgn0036780",8.88898997716458,-2.7226582543552,0.892087783602517,-3.05200710557911,0.00227316719731439,0.0112313128070207,"CG7330","40007"
"FBgn0036835",40.1224062776271,2.65189646264544,0.438019307564415,6.05429125348648,1.41037231835106e-09,5.6566991709551e-08,"CG14075","40071"
"FBgn0036948",162.225440064354,-3.56836845418903,0.548852831141475,-6.50150322950458,7.95213290402903e-11,4.11799692536491e-09,"CG7298","40210"
"FBgn0036997",134.414420314464,2.00396313637552,0.244690787442852,8.18977762635854,2.61709268584576e-16,3.82375934921251e-14,"CG5955","40268"
"FBgn0037003",44.6210105452394,-2.21186321080428,0.504554797770667,-4.38379185090937,1.16631217709216e-05,0.000157644816623921,"CG18281","40274"
"FBgn0037167",294.046635893348,3.10576000399578,0.256934961817383,12.0877282796695,1.22630772872311e-33,7.92130250243088e-31,"CG11425","40472"
"FBgn0037405",149.687903616817,3.61798657001261,0.316814783270336,11.4198792514218,3.32695860632995e-30,1.6332705190195e-27,"CG1077","40751"
"FBgn0038011",11.5155440261651,5.81464624769525,1.32936951143803,4.37398796772866,1.21997106010167e-05,0.000164174394963024,"CG4066","41493"
